Designator,Mid X,Mid Y,Rotation,Layer
C1,56.8,-53.48,90.0,top
C10,64.875,-53.25,0.0,top
C11,56.825,-47.15,0.0,top
C12,61.625,-47.15,0.0,top
C13,69.1,-51.875,90.0,top
C2,54.089,-53.34,180.0,top
C20,75.438,-51.054,180.0,top
C21,67.31,-78.458,90.0,top
C22,65.814,-80.01,180.0,top
C26,73.378,-84.328,0.0,top
C27,64.77,-83.792,270.0,top
C3,48.796,-47.244,0.0,top
C33,73.378,-78.74,0.0,top
C34,73.378,-79.756,0.0,top
C35,73.378,-81.026,0.0,top
C36,73.35,-82.042,0.0,top
C37,73.378,-83.312,0.0,top
C38,73.35,-86.816,0.0,top
C39,73.378,-85.8,0.0,top
C4,48.796,-48.514,0.0,top
C5,66.294,-78.458,90.0,top
C6,54.864,-82.268,90.0,top
C7,75.75,-74.905,270.0,top
C8,49.45,-50.975,90.0,top
C9,60.075,-53.25,0.0,top
D1,55.245,-104.9275,270.0,top
FB1,50.75,-50.32,270.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,49.276,-61.468,0.0,bottom
J5,71.882,-40.619,180.0,top
OUTPUT1,75.184,-61.468,0.0,bottom
R1,75.182,-69.342,180.0,top
R10,49.782,-75.946,0.0,top
R11,65.5,-47.425,90.0,top
R12,50.036,-85.598,180.0,top
R13,65.276,-85.344,0.0,top
R14,62.992,-75.694,90.0,top
R15,73.74,-75.675,90.0,top
R16,76.19,-82.39,90.0,top
R17,65.276,-86.36,0.0,top
R18,64.262,-75.694,90.0,top
R19,76.18,-85.07,270.0,top
R2,75.182,-71.882,180.0,top
R24,70.825,-79.246,90.0,top
R25,69.25,-78.725,90.0,top
R26,65.532,-75.694,270.0,top
R3,52.07,-47.754,90.0,top
R4,72.644,-52.133,270.0,top
R5,61.214,-100.328,270.0,top
R6,62.738,-100.33,270.0,top
R7,60.452,-75.694,90.0,top
R8,61.722,-75.694,90.0,top
R9,56.896,-104.392,270.0,top
RV1,53.975,-95.846,0.0,top
RV2,70.078,-95.846,0.0,top
SW1,56.124,-42.987,0.0,top
SW2,50.292,-42.926,0.0,top
SW4,51.19,-104.775,0.0,top
U1,62.37,-64.29,0.0,top
U3,51.562,-81.28,180.0,top
U4,68.616751,-83.148249,45.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
